Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_SLIK_Gateway_Approval_Non_Customer,Chrome 86.0.4240.80,,,2020-10-15 18:39:55,2020-10-15 18:43:24,3m - 29.343s,FAILED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/SLIK Gateway Non Customer Checking,Chrome 86.0.4240.80,,,2020-10-15 18:39:55,2020-10-15 18:41:11,1m - 16.287s,FAILED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/SLIK Gateway Non Customer Checking.feature"")",Chrome 86.0.4240.80,,,2020-10-15 18:39:55,2020-10-15 18:41:11,1m - 16.089s,FAILED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Approval_Non_Customer/Check KTP number based on maker and checker,Chrome 86.0.4240.80,,,2020-10-15 18:41:11,2020-10-15 18:41:19,7.782s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Approval Non Customer/Check KTP number based on maker and checker.feature"")",Chrome 86.0.4240.80,,,2020-10-15 18:41:11,2020-10-15 18:41:19,7.698s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Approval_Non_Customer/Approve KTP Number,Chrome 86.0.4240.80,,,2020-10-15 18:41:19,2020-10-15 18:41:49,30.097s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Approval Non Customer/Approve_KTP_Number.feature"")",Chrome 86.0.4240.80,,,2020-10-15 18:41:19,2020-10-15 18:41:49,30.008s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Non_Customer/SLIK Gateway Non Customer Checking,Chrome 86.0.4240.80,,,2020-10-15 18:41:49,2020-10-15 18:43:01,1m - 11.915s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Non Customer/SLIK Gateway Non Customer Checking.feature"")",Chrome 86.0.4240.80,,,2020-10-15 18:41:49,2020-10-15 18:43:01,1m - 11.912s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Approval_Non_Customer/Reject KTP Number,Chrome 86.0.4240.80,,,2020-10-15 18:43:01,2020-10-15 18:43:24,23.068s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Approval Non Customer/Reject_KTP_Number.feature"")",Chrome 86.0.4240.80,,,2020-10-15 18:43:01,2020-10-15 18:43:24,22.962s,PASSED
