Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_BUKALAPAK_B2B,Chrome 86.0.4240.80,,,2020-10-20 15:44:06,2020-10-20 15:59:52,15m - 45.499s,FAILED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BUKALAPAK/TC BUKALAPAK - Update Tbl CDS CDC TRKRegMistake,Chrome 86.0.4240.80,,,2020-10-20 15:44:06,2020-10-20 15:44:09,3.048s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BUKALAPAK/Update_Tbl_CDS_CDC_TRK_RegMistake.feature"")",Chrome 86.0.4240.80,,,2020-10-20 15:44:06,2020-10-20 15:44:09,2.865s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BUKALAPAK/TC BUKALAPAK - Contract Dispatcher BUKALAPAK B2B,Chrome 86.0.4240.80,,,2020-10-20 15:44:09,2020-10-20 15:45:04,54.510s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BUKALAPAK/Contract_Dispatcher_BUKALAPAK_B2B.feature"")",Chrome 86.0.4240.80,,,2020-10-20 15:44:09,2020-10-20 15:45:04,54.396s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BUKALAPAK/TC BUKALAPAK - Update Tbl CDS CDC TRKRegMistake,Chrome 86.0.4240.80,,,2020-10-20 15:45:04,2020-10-20 15:45:05,1.094s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BUKALAPAK/Update_Tbl_CDS_CDC_TRK_RegMistake.feature"")",Chrome 86.0.4240.80,,,2020-10-20 15:45:04,2020-10-20 15:45:05,1.089s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BUKALAPAK/TC BUKALAPAK - Claim Contract BUKALAPAK then Save it Without Register Any Mistakes,Chrome 86.0.4240.80,,,2020-10-20 15:45:05,2020-10-20 15:46:08,1m - 2.955s,FAILED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BUKALAPAK/Claim_Contract_BUKALAPAK_B2B_then_Save_it_Without_Register_Any_Mistakes.feature"")",Chrome 86.0.4240.80,,,2020-10-20 15:45:05,2020-10-20 15:46:08,1m - 2.862s,FAILED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BUKALAPAK/TC BUKALAPAK - Update Tbl CDS CDC TRKRegMistake,Chrome 86.0.4240.80,,,2020-10-20 15:46:08,2020-10-20 15:46:09,1.163s,PASSED
