Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_SLIK_Gateway_Customer,Chrome 86.0.4240.111,,,2020-10-30 11:32:24,2020-10-30 11:37:25,5m - 0.528s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Customer/Open Menu SLIK Gateway Customer,Chrome 86.0.4240.111,,,2020-10-30 11:32:24,2020-10-30 11:33:07,42.599s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Customer/Open_Menu_SLIK_Gateway_Customer.feature"")",Chrome 86.0.4240.111,,,2020-10-30 11:32:25,2020-10-30 11:33:07,42.418s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Customer/SLIK Gateway Customer Checking,Chrome 86.0.4240.111,,,2020-10-30 11:33:07,2020-10-30 11:34:31,1m - 23.642s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Customer/SLIK Gateway Customer Checking.feature"")",Chrome 86.0.4240.111,,,2020-10-30 11:33:07,2020-10-30 11:34:31,1m - 23.523s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Customer/SELECT KTP NUMBER CUSTOMER from DB,Chrome 86.0.4240.111,,,2020-10-30 11:34:31,2020-10-30 11:34:32,1.623s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Customer/SELECT_KTP_NUMBER_CUSTOMER_from_DB.feature"")",Chrome 86.0.4240.111,,,2020-10-30 11:34:31,2020-10-30 11:34:32,1.525s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Customer/SLIK Gateaway Customer Search By KTP,Chrome 86.0.4240.111,,,2020-10-30 11:34:32,2020-10-30 11:34:49,17.293s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Customer/SLIK_Gateaway_Customer_Search_By_KTP.feature"")",Chrome 86.0.4240.111,,,2020-10-30 11:34:32,2020-10-30 11:34:49,17.214s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Customer/SLIK Gateway Customer Search By Status SUCCESS,Chrome 86.0.4240.111,,,2020-10-30 11:34:49,2020-10-30 11:35:06,16.731s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Customer/SLIK_Gateway_Customer_Search_By_Status_SUCCESS.feature"")",Chrome 86.0.4240.111,,,2020-10-30 11:34:50,2020-10-30 11:35:06,16.629s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Customer/SLIK Gateway Customer Search By Status FAILED,Chrome 86.0.4240.111,,,2020-10-30 11:35:06,2020-10-30 11:35:29,23.224s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Customer/SLIK_Gateway_Customer_Search_By_Status_FAILED.feature"")",Chrome 86.0.4240.111,,,2020-10-30 11:35:06,2020-10-30 11:35:29,23.135s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Customer/SLIK Gateway Customer Search By DateStart DateEnd,Chrome 86.0.4240.111,,,2020-10-30 11:35:29,2020-10-30 11:35:47,17.241s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Customer/SLIK_Gateway_Customer_Search_By_DateStart_DateEnd.feature"")",Chrome 86.0.4240.111,,,2020-10-30 11:35:30,2020-10-30 11:35:47,17.147s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Customer/SLIK Gateway Customer Search By DateStart ONLY,Chrome 86.0.4240.111,,,2020-10-30 11:35:47,2020-10-30 11:36:11,24.499s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Customer/SLIK_Gateway_Customer_Search_By_DateStart_ONLY.feature"")",Chrome 86.0.4240.111,,,2020-10-30 11:35:47,2020-10-30 11:36:11,24.414s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Customer/SLIK Gateway Customer Search By DateEnd ONLY,Chrome 86.0.4240.111,,,2020-10-30 11:36:11,2020-10-30 11:36:45,33.568s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Customer/SLIK_Gateway_Customer_Search_By_DateEnd_ONLY.feature"")",Chrome 86.0.4240.111,,,2020-10-30 11:36:11,2020-10-30 11:36:45,33.478s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Customer/SLIK Gateway Customer View Detail when Status SUCCESS,Chrome 86.0.4240.111,,,2020-10-30 11:36:45,2020-10-30 11:37:06,21.354s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Customer/SLIK_Gateway_Customer_View_Detail_when_Status_SUCCESS.feature"")",Chrome 86.0.4240.111,,,2020-10-30 11:36:45,2020-10-30 11:37:06,21.238s,PASSED
,,,,,,,
Test Cases/IST_Real/SLIK/SLIK_Gateway_Customer/SLIK Gateway Customer View Detail when Status FAILED,Chrome 86.0.4240.111,,,2020-10-30 11:37:06,2020-10-30 11:37:25,18.544s,PASSED
"runFeatureFile(""Include/features/IST_Real/SLIK/SLIK Gateway Customer/SLIK_Gateway_Customer_View_Detail_when_Status_FAILED.feature"")",Chrome 86.0.4240.111,,,2020-10-30 11:37:06,2020-10-30 11:37:25,18.459s,PASSED
