Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_CONTRACT_DISPATCHER_BPKB,Chrome 87.0.4280.67,,,2020-11-23 14:13:17,2020-11-23 14:27:41,14m - 23.532s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_BPKB/Update_Tbl_CDS_CDC_TRKRegMistake,Chrome 87.0.4280.67,,,2020-11-23 14:13:18,2020-11-23 14:13:21,3.304s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_BPKB/Update_Tbl_CDS_CDC_TRKRegMistake.feature"")",Chrome 87.0.4280.67,,,2020-11-23 14:13:18,2020-11-23 14:13:21,3.118s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_BPKB/Contract_Dispatcher_BPKB,Chrome 87.0.4280.67,,,2020-11-23 14:13:21,2020-11-23 14:13:58,36.716s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_BPKB/Contract_Dispatcher_BPKB.feature"")",Chrome 87.0.4280.67,,,2020-11-23 14:13:21,2020-11-23 14:13:58,36.626s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_BPKB/Update_Tbl_CDS_CDC_TRKRegMistake,Chrome 87.0.4280.67,,,2020-11-23 14:13:58,2020-11-23 14:13:59,1.808s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_BPKB/Update_Tbl_CDS_CDC_TRKRegMistake.feature"")",Chrome 87.0.4280.67,,,2020-11-23 14:13:58,2020-11-23 14:13:59,1.803s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_BPKB/Claim_Contract_BPKB_then_Save_it_Without_Register_Any_Mistakes,Chrome 87.0.4280.67,,,2020-11-23 14:13:59,2020-11-23 14:14:38,38.086s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_BPKB/Claim_Contract_BPKB_then_Save_it_Without_Register_Any_Mistakes.feature"")",Chrome 87.0.4280.67,,,2020-11-23 14:14:00,2020-11-23 14:14:38,38.001s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_BPKB/Update_Tbl_CDS_CDC_TRKRegMistake,Chrome 87.0.4280.67,,,2020-11-23 14:14:38,2020-11-23 14:14:39,1.042s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_BPKB/Update_Tbl_CDS_CDC_TRKRegMistake.feature"")",Chrome 87.0.4280.67,,,2020-11-23 14:14:38,2020-11-23 14:14:39,1.038s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_BPKB/Pick_Mistake_Without_Choose_Dropdown_Mistake_Type,Chrome 87.0.4280.67,,,2020-11-23 14:14:39,2020-11-23 14:15:10,31.423s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_BPKB/Pick_Mistake_Without_Choose_Dropdown_Mistake_Type.feature"")",Chrome 87.0.4280.67,,,2020-11-23 14:14:39,2020-11-23 14:15:10,31.348s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_BPKB/Update_Tbl_CDS_CDC_TRKRegMistake,Chrome 87.0.4280.67,,,2020-11-23 14:15:10,2020-11-23 14:15:12,1.834s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_BPKB/Update_Tbl_CDS_CDC_TRKRegMistake.feature"")",Chrome 87.0.4280.67,,,2020-11-23 14:15:10,2020-11-23 14:15:12,1.830s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_BPKB/PIck_Mistake_Without_Write_Textarea_Note_Before,Chrome 87.0.4280.67,,,2020-11-23 14:15:12,2020-11-23 14:15:44,31.882s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_BPKB/PIck_Mistake_Without_Write_Textarea_Note_Before.feature"")",Chrome 87.0.4280.67,,,2020-11-23 14:15:12,2020-11-23 14:15:44,31.807s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_BPKB/Update_Tbl_CDS_CDC_TRKRegMistake,Chrome 87.0.4280.67,,,2020-11-23 14:15:44,2020-11-23 14:15:46,2.634s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_BPKB/Update_Tbl_CDS_CDC_TRKRegMistake.feature"")",Chrome 87.0.4280.67,,,2020-11-23 14:15:44,2020-11-23 14:15:46,2.628s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_BPKB/Pick_Mistake_Without_Write_Textarea_Note_After,Chrome 87.0.4280.67,,,2020-11-23 14:15:46,2020-11-23 14:16:21,34.438s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_BPKB/Pick_Mistake_Without_Write_Textarea_Note_After.feature"")",Chrome 87.0.4280.67,,,2020-11-23 14:15:46,2020-11-23 14:16:21,34.362s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_BPKB/Update_Tbl_CDS_CDC_TRKRegMistake,Chrome 87.0.4280.67,,,2020-11-23 14:16:21,2020-11-23 14:16:22,0.956s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_BPKB/Update_Tbl_CDS_CDC_TRKRegMistake.feature"")",Chrome 87.0.4280.67,,,2020-11-23 14:16:21,2020-11-23 14:16:22,0.953s,PASSED
,,,,,,,
