Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DRC_IST_Tracker,Chrome 87.0.4280.88,,,2020-12-08 22:24:54,2020-12-08 22:27:18,2m - 23.745s,PASSED
,,,,,,,
Test Cases/DRC/IST_Tracker/DRC_IST_Tracker-Connection_to_LDAP,Chrome 87.0.4280.88,,,2020-12-08 22:24:54,2020-12-08 22:25:05,10.897s,PASSED
"runFeatureFile(""Include/features/DRC/IST_Tracker/Connection_to_LDAP.feature"")",Chrome 87.0.4280.88,,,2020-12-08 22:24:54,2020-12-08 22:25:05,10.712s,PASSED
,,,,,,,
Test Cases/DRC/IST_Tracker/DRC_IST_Tracker-Connection_to_Database,Chrome 87.0.4280.88,,,2020-12-08 22:25:05,2020-12-08 22:25:39,34.077s,PASSED
"runFeatureFile(""Include/features/DRC/IST_Tracker/Connection_to_Database.feature"")",Chrome 87.0.4280.88,,,2020-12-08 22:25:05,2020-12-08 22:25:39,33.987s,PASSED
,,,,,,,
Test Cases/DRC/IST_Tracker/DRC_IST_Tracker-Connection_to_CZ,Chrome 87.0.4280.88,,,2020-12-08 22:25:39,2020-12-08 22:26:58,1m - 18.729s,PASSED
"runFeatureFile(""Include/features/DRC/IST_Tracker/Connection_to_CZ.feature"")",Chrome 87.0.4280.88,,,2020-12-08 22:25:39,2020-12-08 22:26:58,1m - 18.638s,PASSED
,,,,,,,
Test Cases/DRC/IST_Tracker/DRC_IST_Tracker-Connection_to_Oasys,Chrome 87.0.4280.88,,,2020-12-08 22:26:58,2020-12-08 22:27:09,11.419s,PASSED
"runFeatureFile(""Include/features/DRC/IST_Tracker/Connection_to_Oasys.feature"")",Chrome 87.0.4280.88,,,2020-12-08 22:26:58,2020-12-08 22:27:09,11.332s,PASSED
,,,,,,,
Test Cases/DRC/IST_Tracker/DRC_IST_Tracker-Send_Email,Chrome 87.0.4280.88,,,2020-12-08 22:27:09,2020-12-08 22:27:18,8.425s,PASSED
"runFeatureFile(""Include/features/DRC/IST_Tracker/Send_Email.feature"")",Chrome 87.0.4280.88,,,2020-12-08 22:27:09,2020-12-08 22:27:18,8.346s,PASSED
