Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DRC_ISTools,Chrome 87.0.4280.88,,,2020-12-18 01:21:22,2020-12-18 01:24:10,2m - 48.574s,FAILED
,,,,,,,
Test Cases/DRC/ISTools/DRC_ISTools_Connection_to_Database,Chrome 87.0.4280.88,,,2020-12-18 01:21:22,2020-12-18 01:21:37,15.138s,PASSED
"runFeatureFile(""Include/features/DRC/ISTools/Connection_to_Database.feature"")",Chrome 87.0.4280.88,,,2020-12-18 01:21:22,2020-12-18 01:21:37,14.897s,PASSED
,,,,,,,
Test Cases/DRC/ISTools/DRC_ISTools_Connection_to_LDAP,Chrome 87.0.4280.88,,,2020-12-18 01:21:37,2020-12-18 01:21:42,4.791s,PASSED
"runFeatureFile(""Include/features/DRC/ISTools/Connection_to_LDAP.feature"")",Chrome 87.0.4280.88,,,2020-12-18 01:21:37,2020-12-18 01:21:42,4.706s,PASSED
,,,,,,,
Test Cases/DRC/ISTools/DRC_ISTools_Send_Email,Chrome 87.0.4280.88,,,2020-12-18 01:21:42,2020-12-18 01:22:35,53.141s,FAILED
"runFeatureFile(""Include/features/DRC/ISTools/Send_Email.feature"")",Chrome 87.0.4280.88,,,2020-12-18 01:21:42,2020-12-18 01:22:35,53.042s,FAILED
,,,,,,,
Test Cases/DRC/ISTools/DRC_ISTools_Connection_to_FTP_DataON_Sunfish_Server,Chrome 87.0.4280.88,,,2020-12-18 01:22:35,2020-12-18 01:22:58,23.016s,PASSED
"runFeatureFile(""Include/features/DRC/ISTools/Connection_to_FTP_DataON_Sunfish_Server.feature"")",Chrome 87.0.4280.88,,,2020-12-18 01:22:35,2020-12-18 01:22:58,22.927s,PASSED
,,,,,,,
Test Cases/DRC/ISTools/DRC_ISTools_Connection_to_FTP_Workaround_Server,Chrome 87.0.4280.88,,,2020-12-18 01:22:58,2020-12-18 01:24:10,1m - 12.218s,PASSED
"runFeatureFile(""Include/features/DRC/ISTools/Connection_to_FTP_Workaround_Server.feature"")",Chrome 87.0.4280.88,,,2020-12-18 01:22:58,2020-12-18 01:24:10,1m - 12.111s,PASSED
