Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_BLIBLI,Chrome 87.0.4280.88,,,2020-12-21 18:50:10,2020-12-21 19:17:28,27m - 17.699s,FAILED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BLIBLI/TC BLIBLI - Update Tbl CDS CDC TRKRegMistake,Chrome 87.0.4280.88,,,2020-12-21 18:50:11,2020-12-21 18:50:42,31.286s,FAILED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BLIBLI/Update_Tbl_CDS_CDC_TRKRegMistake.feature"")",Chrome 87.0.4280.88,,,2020-12-21 18:50:12,2020-12-21 18:50:42,30.692s,FAILED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BLIBLI/TC BLIBLI - Check Mistake Matrix,Chrome 87.0.4280.88,,,2020-12-21 18:50:42,2020-12-21 18:51:15,33.135s,FAILED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BLIBLI/BliBli_Check_Mistake_Matrix.feature"")",Chrome 87.0.4280.88,,,2020-12-21 18:50:42,2020-12-21 18:51:15,33.025s,FAILED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BLIBLI/TC BLIBLI - Update Tbl CDS CDC TRKRegMistake,Chrome 87.0.4280.88,,,2020-12-21 18:51:15,2020-12-21 18:53:02,1m - 46.691s,FAILED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BLIBLI/Update_Tbl_CDS_CDC_TRKRegMistake.feature"")",Chrome 87.0.4280.88,,,2020-12-21 18:51:15,2020-12-21 18:53:02,1m - 46.686s,FAILED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_DONA_B2B/BLIBLI/TC BLIBLI - Contract Dispatcher BLIBLI,Chrome 87.0.4280.88,,,2020-12-21 18:53:02,2020-12-21 18:55:49,2m - 47.239s,FAILED
