Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Contract_Dispatcher_Two_Wheelers,Chrome 87.0.4280.88,,,2020-12-21 18:10:36,2020-12-21 18:26:01,15m - 24.981s,FAILED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_TWO_WHEELERS/Update_Tbl_CDS_CDC,Chrome 87.0.4280.88,,,2020-12-21 18:10:36,2020-12-21 18:10:39,2.943s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_TWO_WHEELERS/Update_Tbl_CDS_CDC_TRKRegMistake.feature"")",Chrome 87.0.4280.88,,,2020-12-21 18:10:37,2020-12-21 18:10:39,2.764s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_TWO_WHEELERS/Contract_Dispatcher_TW,Chrome 87.0.4280.88,,,2020-12-21 18:10:39,2020-12-21 18:11:54,1m - 14.417s,FAILED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_TWO_WHEELERS/Contract_Dispatcher_TW.feature"")",Chrome 87.0.4280.88,,,2020-12-21 18:10:40,2020-12-21 18:11:54,1m - 14.203s,FAILED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_TWO_WHEELERS/Update_Tbl_CDS_CDC,Chrome 87.0.4280.88,,,2020-12-21 18:11:54,2020-12-21 18:11:55,0.879s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_TWO_WHEELERS/Update_Tbl_CDS_CDC_TRKRegMistake.feature"")",Chrome 87.0.4280.88,,,2020-12-21 18:11:54,2020-12-21 18:11:55,0.875s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_TWO_WHEELERS/Claim_Contract_Two_Wheelers_then_Save_it_Without_Register_Any_Mistakes,Chrome 87.0.4280.88,,,2020-12-21 18:11:55,2020-12-21 18:13:07,1m - 12.415s,FAILED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_TWO_WHEELERS/Claim_Contract_Two_Wheelers_then_Save_it_Without_Register_Any_Mistakes.feature"")",Chrome 87.0.4280.88,,,2020-12-21 18:11:55,2020-12-21 18:13:07,1m - 12.336s,FAILED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_TWO_WHEELERS/Update_Tbl_CDS_CDC,Chrome 87.0.4280.88,,,2020-12-21 18:13:07,2020-12-21 18:13:08,0.785s,PASSED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_TWO_WHEELERS/Update_Tbl_CDS_CDC_TRKRegMistake.feature"")",Chrome 87.0.4280.88,,,2020-12-21 18:13:07,2020-12-21 18:13:08,0.782s,PASSED
,,,,,,,
Test Cases/IST_Real/CONTRACT_DISPATCHER_TWO_WHEELERS/Pick_Mistake_Without_Choose_Dropdown_Mistake_Type,Chrome 87.0.4280.88,,,2020-12-21 18:13:08,2020-12-21 18:13:38,30.387s,FAILED
"runFeatureFile(""Include/features/IST_Real/CONTRACT_DISPATCHER_TWO_WHEELERS/Pick_Mistake_Without_Choose_Dropdown_Mistake_Type.feature"")",Chrome 87.0.4280.88,,,2020-12-21 18:13:08,2020-12-21 18:13:38,30.305s,FAILED
,,,,,,,
