Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_TRIS,Chrome 87.0.4280.88,,,2020-12-21 18:28:34,2020-12-21 18:31:17,2m - 42.569s,FAILED
,,,,,,,
Test Cases/IST_Real/TRIS/Tracker_Invoice_System,Chrome 87.0.4280.88,,,2020-12-21 18:28:34,2020-12-21 18:29:10,35.465s,FAILED
"runFeatureFile(""Include/features/IST_Real/TRIS/Tracker_Invoice_System.feature"")",Chrome 87.0.4280.88,,,2020-12-21 18:28:34,2020-12-21 18:29:10,35.300s,FAILED
,,,,,,,
Test Cases/IST_Real/TRIS/Tracker_Invoice_System_Update_Data,Chrome 87.0.4280.88,,,2020-12-21 18:29:10,2020-12-21 18:30:29,1m - 19.330s,FAILED
"runFeatureFile(""Include/features/IST_Real/TRIS/Tracker_Invoice_System_Update_Data.feature"")",Chrome 87.0.4280.88,,,2020-12-21 18:29:10,2020-12-21 18:30:29,1m - 19.234s,FAILED
,,,,,,,
Test Cases/IST_Real/TRIS/Track_Invoice_System_Correction,Chrome 87.0.4280.88,,,2020-12-21 18:30:29,2020-12-21 18:31:04,34.505s,FAILED
"runFeatureFile(""Include/features/IST_Real/TRIS/Track_Invoice_System_Correction.feature"")",Chrome 87.0.4280.88,,,2020-12-21 18:30:29,2020-12-21 18:31:04,34.411s,FAILED
,,,,,,,
Test Cases/IST_Real/TRIS/Send_Email_Handling,Chrome 87.0.4280.88,,,2020-12-21 18:31:04,2020-12-21 18:31:13,9.005s,PASSED
"runFeatureFile(""Include/features/IST_Real/TRIS/Send_Email_Handling.feature"")",Chrome 87.0.4280.88,,,2020-12-21 18:31:04,2020-12-21 18:31:13,8.922s,PASSED
,,,,,,,
Test Cases/IST_Real/TRIS/Addendum_Check_Contract_Status_in_BSL_And_CreditLimit_TRIS,Chrome 87.0.4280.88,,,2020-12-21 18:31:13,2020-12-21 18:31:17,4.076s,FAILED
"runFeatureFile(""Include/features/IST_Real/TRIS/Addendum_Check_Contract_Status_in_BSL_And_CreditLimit_TRIS.feature"")",Chrome 87.0.4280.88,,,2020-12-21 18:31:13,2020-12-21 18:31:17,3.997s,FAILED
