Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RTD,Chrome 87.0.4280.141,,,2021-01-21 15:18:18,2021-01-21 15:18:27,8.350s,PASSED
,,,,,,,
Test Cases/RTD/TC_Check_MPF_Failed_Due_to_Not_Supported_Bank,Chrome 87.0.4280.141,,,2021-01-21 15:18:18,2021-01-21 15:18:22,3.734s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Check_MPF_Failed_Due_to_Not_Supported_Bank.feature"")",Chrome 87.0.4280.141,,,2021-01-21 15:18:19,2021-01-21 15:18:22,3.521s,PASSED
,,,,,,,
Test Cases/RTD/TC_Check_MPF_Eligible_to_Disburse,Chrome 87.0.4280.141,,,2021-01-21 15:18:22,2021-01-21 15:18:23,0.511s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Check_MPF_Eligible_to_Disburse.feature"")",Chrome 87.0.4280.141,,,2021-01-21 15:18:22,2021-01-21 15:18:23,0.363s,PASSED
,,,,,,,
Test Cases/RTD/TC_Check_MPF_Ready_to_Disburse,Chrome 87.0.4280.141,,,2021-01-21 15:18:23,2021-01-21 15:18:23,0.305s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Check_MPF_Ready_to_Disburse.feature"")",Chrome 87.0.4280.141,,,2021-01-21 15:18:23,2021-01-21 15:18:23,0.230s,PASSED
,,,,,,,
Test Cases/RTD/TC_Check_MPF_Waiting_for_Approval_from_InPayment,Chrome 87.0.4280.141,,,2021-01-21 15:18:23,2021-01-21 15:18:23,0.328s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Check_MPF_Waiting_for_Approval_from_InPayment.feature"")",Chrome 87.0.4280.141,,,2021-01-21 15:18:23,2021-01-21 15:18:23,0.247s,PASSED
,,,,,,,
Test Cases/RTD/TC_Check_MPF_DONE,Chrome 87.0.4280.141,,,2021-01-21 15:18:23,2021-01-21 15:18:24,0.403s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Check_MPF_DONE.feature"")",Chrome 87.0.4280.141,,,2021-01-21 15:18:23,2021-01-21 15:18:24,0.322s,PASSED
,,,,,,,
Test Cases/RTD/TC_Check_MPF_Waiting_Approval_From_Risk,Chrome 87.0.4280.141,,,2021-01-21 15:18:24,2021-01-21 15:18:24,0.346s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Check_MPF_Waiting_Approval_From_Risk.feature"")",Chrome 87.0.4280.141,,,2021-01-21 15:18:24,2021-01-21 15:18:24,0.261s,PASSED
,,,,,,,
Test Cases/RTD/TC_Check_MPF_Manual_DIsbursment,Chrome 87.0.4280.141,,,2021-01-21 15:18:24,2021-01-21 15:18:25,0.487s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Check_MPF_Manual_DIsbursment.feature"")",Chrome 87.0.4280.141,,,2021-01-21 15:18:24,2021-01-21 15:18:25,0.386s,PASSED
,,,,,,,
Test Cases/RTD/TC_Check_MPF_is_Not_Eligible_to_Disburse,Chrome 87.0.4280.141,,,2021-01-21 15:18:25,2021-01-21 15:18:25,0.376s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Check_MPF_is_Not_Eligible_to_Disburse.feature"")",Chrome 87.0.4280.141,,,2021-01-21 15:18:25,2021-01-21 15:18:25,0.298s,PASSED
,,,,,,,
Test Cases/RTD/TC_Check_MPF_Insufficient_Fund,Chrome 87.0.4280.141,,,2021-01-21 15:18:25,2021-01-21 15:18:25,0.344s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Check_MPF_Insufficient_Fund.feature"")",Chrome 87.0.4280.141,,,2021-01-21 15:18:25,2021-01-21 15:18:25,0.238s,PASSED
,,,,,,,
Test Cases/RTD/TC_Check_MPF_Failed_Due_to_System_Error,Chrome 87.0.4280.141,,,2021-01-21 15:18:25,2021-01-21 15:18:26,0.336s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Check_MPF_Failed_Due_to_System_Error.feature"")",Chrome 87.0.4280.141,,,2021-01-21 15:18:25,2021-01-21 15:18:26,0.244s,PASSED
,,,,,,,
Test Cases/RTD/TC_Check_MPF_Success_to_Disburse,Chrome 87.0.4280.141,,,2021-01-21 15:18:26,2021-01-21 15:18:26,0.324s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Check_MPF_Success_to_Disburse.feature"")",Chrome 87.0.4280.141,,,2021-01-21 15:18:26,2021-01-21 15:18:26,0.239s,PASSED
,,,,,,,
Test Cases/RTD/TC_Check_MPF_Failed_Due_to_Invalid_Bank_Account,Chrome 87.0.4280.141,,,2021-01-21 15:18:26,2021-01-21 15:18:26,0.305s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Check_MPF_Failed_Due_to_Invalid_Bank_Account.feature"")",Chrome 87.0.4280.141,,,2021-01-21 15:18:26,2021-01-21 15:18:26,0.227s,PASSED
,,,,,,,
Test Cases/RTD/TC_Check_MPF_Waiting_Partner_Confirmation,Chrome 87.0.4280.141,,,2021-01-21 15:18:26,2021-01-21 15:18:27,0.312s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Check_MPF_Waiting_Partner_Confirmation.feature"")",Chrome 87.0.4280.141,,,2021-01-21 15:18:26,2021-01-21 15:18:27,0.233s,PASSED
