Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Dashboard_for_BO_In_Payment,Chrome 87.0.4280.141,,,2021-01-21 15:56:09,2021-01-21 16:01:05,4m - 55.934s,PASSED
,,,,,,,
Test Cases/RTD/Dashboard for BO in Payment/TC_Search_by_Status,Chrome 87.0.4280.141,,,2021-01-21 15:56:10,2021-01-21 15:59:26,3m - 16.482s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Dashboard_for_BO_In_Payment/Search_by_Status.feature"")",Chrome 87.0.4280.141,,,2021-01-21 15:56:10,2021-01-21 15:59:26,3m - 16.329s,PASSED
,,,,,,,
Test Cases/RTD/Dashboard for BO in Payment/TC_View_Detail,Chrome 87.0.4280.141,,,2021-01-21 15:59:26,2021-01-21 16:00:07,40.687s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Dashboard_for_BO_In_Payment/View_Detail.feature"")",Chrome 87.0.4280.141,,,2021-01-21 15:59:26,2021-01-21 16:00:07,40.607s,PASSED
,,,,,,,
Test Cases/RTD/Dashboard for BO in Payment/TC_Export_Data,Chrome 87.0.4280.141,,,2021-01-21 16:00:07,2021-01-21 16:00:17,9.741s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Dashboard_for_BO_In_Payment/Export_Data.feature"")",Chrome 87.0.4280.141,,,2021-01-21 16:00:07,2021-01-21 16:00:17,9.664s,PASSED
,,,,,,,
Test Cases/RTD/Dashboard for BO in Payment/TC_Generate_Outpayment,Chrome 87.0.4280.141,,,2021-01-21 16:00:17,2021-01-21 16:00:56,39.036s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Dashboard_for_BO_In_Payment/Generate_Outpayment.feature"")",Chrome 87.0.4280.141,,,2021-01-21 16:00:17,2021-01-21 16:00:56,38.963s,PASSED
,,,,,,,
Test Cases/RTD/Dashboard for BO in Payment/TC_Search_by_Contract_Number,Chrome 87.0.4280.141,,,2021-01-21 16:00:56,2021-01-21 16:01:05,9.821s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Dashboard_for_BO_In_Payment/Search_by_Contract_Number.feature"")",Chrome 87.0.4280.141,,,2021-01-21 16:00:56,2021-01-21 16:01:05,9.743s,PASSED
