Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Dashboard_for_CCC_OCS,Chrome 87.0.4280.141,,,2021-01-21 17:36:26,2021-01-21 17:40:19,3m - 52.883s,PASSED
,,,,,,,
Test Cases/RTD/Dashboard for CCC OCS/TC_Search_by_Status,Chrome 87.0.4280.141,,,2021-01-21 17:36:26,2021-01-21 17:39:21,2m - 55.353s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Dashboard_for_CCC_OCS/Search_by_STATUS_CCC_OCS.feature"")",Chrome 87.0.4280.141,,,2021-01-21 17:36:26,2021-01-21 17:39:21,2m - 55.188s,PASSED
,,,,,,,
Test Cases/RTD/Dashboard for CCC OCS/TC_Search_by_Contract_Number_CCC_OCS,Chrome 87.0.4280.141,,,2021-01-21 17:39:21,2021-01-21 17:39:28,6.569s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Dashboard_for_CCC_OCS/Search_by_Contract_Number_CCC_OCS.feature"")",Chrome 87.0.4280.141,,,2021-01-21 17:39:22,2021-01-21 17:39:28,6.480s,PASSED
,,,,,,,
Test Cases/RTD/Dashboard for CCC OCS/TC_View_Detail_CCC_OCS,Chrome 87.0.4280.141,,,2021-01-21 17:39:28,2021-01-21 17:40:09,40.829s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Dashboard_for_CCC_OCS/View_Detail_CCC_OCS.feature"")",Chrome 87.0.4280.141,,,2021-01-21 17:39:28,2021-01-21 17:40:09,40.748s,PASSED
,,,,,,,
Test Cases/RTD/Dashboard for CCC OCS/TC_Export_Data_CCC_OCS,Chrome 87.0.4280.141,,,2021-01-21 17:40:09,2021-01-21 17:40:19,9.953s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Dashboard_for_CCC_OCS/Export_Data_CCC_OCS.feature"")",Chrome 87.0.4280.141,,,2021-01-21 17:40:09,2021-01-21 17:40:19,9.873s,PASSED
