Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Dashboard_for_Risk,Chrome 87.0.4280.141,,,2021-01-21 17:45:59,2021-01-21 17:49:28,3m - 29.442s,FAILED
,,,,,,,
Test Cases/RTD/Dashboard for Risk/TC_View_Detail_Dashboard_for_Risk,Chrome 87.0.4280.141,,,2021-01-21 17:45:59,2021-01-21 17:46:39,39.940s,FAILED
"runFeatureFile(""Include/features/IST_Real/RTD/Dashboard_for_Risk/View_Detail_Dashboard_for_Risk.feature"")",Chrome 87.0.4280.141,,,2021-01-21 17:45:59,2021-01-21 17:46:39,39.784s,FAILED
,,,,,,,
Test Cases/RTD/Dashboard for Risk/TC_Export_Data_Dashboard_for_Risk,Chrome 87.0.4280.141,,,2021-01-21 17:46:39,2021-01-21 17:46:49,9.694s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Dashboard_for_Risk/Export_Data_Dashboard_for_Risk.feature"")",Chrome 87.0.4280.141,,,2021-01-21 17:46:39,2021-01-21 17:46:49,9.597s,PASSED
,,,,,,,
Test Cases/RTD/Dashboard for Risk/TC_Search_by_STATUS_Dashboard_for_Risk,Chrome 87.0.4280.141,,,2021-01-21 17:46:49,2021-01-21 17:49:22,2m - 33.003s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Dashboard_for_Risk/Search_by_STATUS_Dashboard_for_Risk.feature"")",Chrome 87.0.4280.141,,,2021-01-21 17:46:49,2021-01-21 17:49:22,2m - 32.923s,PASSED
,,,,,,,
Test Cases/RTD/Dashboard for Risk/TC_Search_by_Contract_Number_Dashboard_for_Risk,Chrome 87.0.4280.141,,,2021-01-21 17:49:22,2021-01-21 17:49:28,6.636s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Dashboard_for_Risk/Search_by_Contract_Number_Dashboard_for_Risk.feature"")",Chrome 87.0.4280.141,,,2021-01-21 17:49:22,2021-01-21 17:49:28,6.559s,PASSED
