Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Disbursement_Dashboard,Chrome 87.0.4280.141,,,2021-01-22 10:42:37,2021-01-22 10:46:25,3m - 47.973s,PASSED
,,,,,,,
Test Cases/RTD/Disbursement Dashboard/TC_View_Detail_Disbursement_Dashboard,Chrome 87.0.4280.141,,,2021-01-22 10:42:37,2021-01-22 10:43:22,44.643s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Disbursement_Dashboard/View_Detail_Disbursement_Dashboard.feature"")",Chrome 87.0.4280.141,,,2021-01-22 10:42:38,2021-01-22 10:43:22,44.425s,PASSED
,,,,,,,
Test Cases/RTD/Disbursement Dashboard/TC_Search_by_Contract_Number_Disbursement_Dashboard,Chrome 87.0.4280.141,,,2021-01-22 10:43:22,2021-01-22 10:43:29,7.005s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Disbursement_Dashboard/Search_by_Contract_Number_Disbursement_Dashboard.feature"")",Chrome 87.0.4280.141,,,2021-01-22 10:43:22,2021-01-22 10:43:29,6.903s,PASSED
,,,,,,,
Test Cases/RTD/Disbursement Dashboard/TC_Search_by_STATUS_Disbursement_Dashboard,Chrome 87.0.4280.141,,,2021-01-22 10:43:29,2021-01-22 10:46:14,2m - 45.153s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Disbursement_Dashboard/Search_by_STATUS_Disbursement_Dashboard.feature"")",Chrome 87.0.4280.141,,,2021-01-22 10:43:29,2021-01-22 10:46:14,2m - 45.073s,PASSED
,,,,,,,
Test Cases/RTD/Disbursement Dashboard/TC_Export_Data_Disbursement_Dashboard,Chrome 87.0.4280.141,,,2021-01-22 10:46:14,2021-01-22 10:46:25,10.948s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Disbursement_Dashboard/Export_Data_Disbursement_Dashboard.feature"")",Chrome 87.0.4280.141,,,2021-01-22 10:46:14,2021-01-22 10:46:25,10.841s,PASSED
