Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Partner_Disbursement,Chrome 87.0.4280.141,,,2021-01-22 11:05:35,2021-01-22 11:10:49,5m - 14.754s,FAILED
,,,,,,,
Test Cases/RTD/Partner Disbursement/TC_Search_by_STATUS,Chrome 87.0.4280.141,,,2021-01-22 11:05:35,2021-01-22 11:09:42,4m - 7.341s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Partner_Disbursement/Search_by_STATUS.feature"")",Chrome 87.0.4280.141,,,2021-01-22 11:05:35,2021-01-22 11:09:42,4m - 7.140s,PASSED
,,,,,,,
Test Cases/RTD/Partner Disbursement/TC_Export_Data,Chrome 87.0.4280.141,,,2021-01-22 11:09:42,2021-01-22 11:09:52,10.185s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Partner_Disbursement/Export_Data.feature"")",Chrome 87.0.4280.141,,,2021-01-22 11:09:42,2021-01-22 11:09:52,10.103s,PASSED
,,,,,,,
Test Cases/RTD/Partner Disbursement/TC_Search_by_OrderID,Chrome 87.0.4280.141,,,2021-01-22 11:09:52,2021-01-22 11:10:00,7.217s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Partner_Disbursement/Search_by_OrderID.feature"")",Chrome 87.0.4280.141,,,2021-01-22 11:09:52,2021-01-22 11:10:00,7.123s,PASSED
,,,,,,,
Test Cases/RTD/Partner Disbursement/TC_Search_by_Contract_Number,Chrome 87.0.4280.141,,,2021-01-22 11:10:00,2021-01-22 11:10:07,7.010s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Partner_Disbursement/Search_by_Contract_Number.feature"")",Chrome 87.0.4280.141,,,2021-01-22 11:10:00,2021-01-22 11:10:07,6.924s,PASSED
,,,,,,,
Test Cases/RTD/Partner Disbursement/TC_Hold_Payment,Chrome 87.0.4280.141,,,2021-01-22 11:10:07,2021-01-22 11:10:49,42.817s,FAILED
"runFeatureFile(""Include/features/IST_Real/RTD/Partner_Disbursement/Hold_Payment.feature"")",Chrome 87.0.4280.141,,,2021-01-22 11:10:07,2021-01-22 11:10:49,42.731s,FAILED
