Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Partner_Disbursement_SBO,Chrome 87.0.4280.141,,,2021-01-22 10:46:40,2021-01-22 10:51:09,4m - 28.571s,PASSED
,,,,,,,
Test Cases/RTD/Partner Disbursement SBO/TC_Search_by_STATUS,Chrome 87.0.4280.141,,,2021-01-22 10:46:40,2021-01-22 10:50:55,4m - 14.426s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Partner Disbursement SBO/Search_by_STATUS.feature"")",Chrome 87.0.4280.141,,,2021-01-22 10:46:40,2021-01-22 10:50:55,4m - 14.247s,PASSED
,,,,,,,
Test Cases/RTD/Partner Disbursement SBO/TC_Search_by_OrderID,Chrome 87.0.4280.141,,,2021-01-22 10:50:55,2021-01-22 10:51:02,6.980s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Partner Disbursement SBO/Search_by_OrderID.feature"")",Chrome 87.0.4280.141,,,2021-01-22 10:50:55,2021-01-22 10:51:02,6.889s,PASSED
,,,,,,,
Test Cases/RTD/Partner Disbursement SBO/TC_Search_by_Contract_Number,Chrome 87.0.4280.141,,,2021-01-22 10:51:02,2021-01-22 10:51:09,6.983s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Partner Disbursement SBO/Search_by_Contract_Number.feature"")",Chrome 87.0.4280.141,,,2021-01-22 10:51:02,2021-01-22 10:51:09,6.900s,PASSED
