Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Hold_Payment_Configuration,Chrome 88.0.4324.146,,,2021-02-05 13:45:24,2021-02-05 13:47:03,1m - 39.089s,FAILED
,,,,,,,
Test Cases/RTD/Hold Payment Configuration/TC_Release_Schedule,Chrome 88.0.4324.146,,,2021-02-05 13:45:24,2021-02-05 13:45:35,10.954s,FAILED
"runFeatureFile(""Include/features/IST_Real/RTD/Hold Payment Configuration/Release_Schedule.feature"")",Chrome 88.0.4324.146,,,2021-02-05 13:45:24,2021-02-05 13:45:35,10.775s,FAILED
,,,,,,,
Test Cases/RTD/Hold Payment Configuration/TC_Add_New_Schedule,Chrome 88.0.4324.146,,,2021-02-05 13:45:35,2021-02-05 13:45:56,20.557s,FAILED
"runFeatureFile(""Include/features/IST_Real/RTD/Hold Payment Configuration/Add_New_Schedule.feature"")",Chrome 88.0.4324.146,,,2021-02-05 13:45:35,2021-02-05 13:45:56,20.468s,FAILED
,,,,,,,
Test Cases/RTD/Hold Payment Configuration/TC_Date_is_NULL,Chrome 88.0.4324.146,,,2021-02-05 13:45:56,2021-02-05 13:46:40,44.450s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Hold Payment Configuration/Date_is_NULL.feature"")",Chrome 88.0.4324.146,,,2021-02-05 13:45:56,2021-02-05 13:46:40,44.369s,PASSED
,,,,,,,
Test Cases/RTD/Hold Payment Configuration/TC_Start_Date_Greater_than_Release_Date,Chrome 88.0.4324.146,,,2021-02-05 13:46:40,2021-02-05 13:47:03,22.943s,PASSED
"runFeatureFile(""Include/features/IST_Real/RTD/Hold Payment Configuration/Start_Date_Greater_than_Release_Date.feature"")",Chrome 88.0.4324.146,,,2021-02-05 13:46:40,2021-02-05 13:47:03,22.859s,PASSED
